iter	RMSE
0	16.75092888
1	15.54405039
2	14.51346525
3	13.60229007
4	12.79484793
5	12.08898229
6	11.47427045
7	10.92508779
8	10.46839733
9	10.07042452
10	9.680232949
11	9.367173097
12	9.096649769
13	8.852970187
14	8.614926617
15	8.420503395
16	8.264553479
17	8.090942154
18	7.949917824
19	7.808562191
20	7.697672473
21	7.5896232
22	7.462709059
23	7.388483667
24	7.278273848
25	7.216105791
26	7.138399378
27	7.064044756
28	6.978134479
29	6.91254199
30	6.866609785
31	6.811595943
32	6.758040796
33	6.710229953
34	6.670012887
35	6.633884837
36	6.602395186
37	6.556947225
38	6.531929139
39	6.505815129
40	6.477751139
41	6.444631911
42	6.418977894
43	6.399402581
44	6.380386717
45	6.361997049
46	6.344857612
47	6.32715534
48	6.302092231
49	6.269815115
50	6.243038047
51	6.229441492
52	6.213370624
53	6.199638576
54	6.180996876
55	6.165869565
56	6.149309945
57	6.135892685
58	6.126317197
59	6.110673876
60	6.101776647
61	6.093711453
62	6.082598549
63	6.060308995
64	6.046268502
65	6.037724127
66	6.029634404
67	6.01948223
68	6.007034336
69	5.997484426
70	5.978272632
71	5.971272215
72	5.965709448
73	5.959952294
74	5.951323532
75	5.943812148
76	5.936475855
77	5.915267224
78	5.906809749
79	5.898059897
80	5.892623908
81	5.886772095
82	5.879410583
83	5.874603451
84	5.868369173
85	5.863782075
86	5.858991303
87	5.853778553
88	5.846191559
89	5.841675074
90	5.8327791
91	5.828142633
92	5.824456246
93	5.817603487
94	5.810530427
95	5.806562313
96	5.801921684
97	5.798508477
98	5.79529826
99	5.791361781
100	5.78463985
101	5.77854576
102	5.772462663
103	5.767268003
104	5.760823651
105	5.756914736
106	5.754219388
107	5.750965221
108	5.746651246
109	5.742534511
110	5.73358104
111	5.729892401
112	5.725964371
113	5.721861298
114	5.71798381
115	5.713195134
116	5.709617664
117	5.706143109
118	5.703148466
119	5.700538285
120	5.69600114
121	5.692632607
122	5.689342123
123	5.682866856
124	5.67960988
125	5.676599384
126	5.674166837
127	5.669606129
128	5.666045015
129	5.662996731
130	5.659066578
131	5.654238051
132	5.649537178
133	5.646127797
134	5.641716587
135	5.63828679
136	5.634538055
137	5.632710922
138	5.628618537
139	5.626403288
140	5.622843261
141	5.618930365
142	5.615180107
143	5.610544383
144	5.608288628
145	5.605219465
146	5.600852373
147	5.598757913
148	5.59667155
149	5.592372593
150	5.590160791
151	5.587814105
152	5.585087985
153	5.58214838
154	5.579487735
155	5.578036129
156	5.575063377
157	5.571764857
158	5.569727421
159	5.567294672
160	5.565134355
161	5.560500586
162	5.558387843
163	5.555768249
164	5.553328575
165	5.55048624
166	5.548880311
167	5.546871507
168	5.543061036
169	5.541507436
170	5.539490305
171	5.537134093
172	5.535598936
173	5.533122941
174	5.529958037
175	5.528137907
176	5.52693743
177	5.524946036
178	5.521434039
179	5.518181141
180	5.516059803
181	5.514807493
182	5.512702346
183	5.511787759
184	5.50822297
185	5.504506333
186	5.502430245
187	5.500081933
188	5.498360693
189	5.497104848
190	5.495219394
191	5.492273943
192	5.490825129
193	5.489409818
194	5.486922646
195	5.485397556
196	5.482515789
197	5.4800607
198	5.477468747
199	5.475312354
200	5.473943431
201	5.472204248
202	5.470721863
203	5.469194471
204	5.467952159
205	5.466498044
206	5.465623901
207	5.463253598
208	5.461288581
209	5.459266933
210	5.457739674
211	5.456020808
212	5.453626935
213	5.451575317
214	5.45024318
215	5.448942825
216	5.446419349
217	5.445086925
218	5.443594133
219	5.441470951
220	5.438569131
221	5.436640076
222	5.434985111
223	5.433203538
224	5.431853307
225	5.430588529
226	5.429226452
227	5.427829583
228	5.42632248
229	5.424809123
230	5.423150829
231	5.421595032
232	5.419915427
233	5.417846977
234	5.416605103
235	5.415748711
236	5.414521644
237	5.413516332
238	5.411270435
239	5.410289295
240	5.408091264
241	5.406092393
242	5.404432405
243	5.402300986
244	5.401609065
245	5.400486126
246	5.399403228
247	5.398084984
248	5.396184399
249	5.394300246
250	5.393127444
251	5.392726889
252	5.392087722
253	5.390471335
254	5.388976666
255	5.388390615
256	5.386308223
257	5.385205289
258	5.383939015
259	5.381895442
260	5.380791821
261	5.379028219
262	5.377960334
263	5.375948612
264	5.374516495
265	5.373179099
266	5.371451963
267	5.370333496
268	5.369259806
269	5.367988668
270	5.366985022
271	5.365527287
272	5.364319664
273	5.363375557
274	5.362617388
275	5.360925547
276	5.360109786
277	5.359364342
278	5.358740044
279	5.357560175
280	5.356050007
281	5.355537882
282	5.354963468
283	5.353746044
284	5.352797559
285	5.351143286
286	5.349866391
287	5.348582416
288	5.347438356
289	5.34622299
290	5.344945057
291	5.343616529
292	5.342753418
293	5.341541155
294	5.340922711
295	5.339732514
296	5.338258162
297	5.337111331
298	5.335487029
299	5.334325975
300	5.332684874
301	5.331768149
302	5.330683939
303	5.32897343
304	5.327988336
305	5.326246499
306	5.325136295
307	5.323519979
308	5.322486555
309	5.321445173
310	5.320222199
311	5.31952418
312	5.318860839
313	5.317183538
314	5.316140332
315	5.315106525
316	5.313679273
317	5.312269301
318	5.311738619
319	5.310817062
320	5.30920626
321	5.308055173
322	5.30734023
323	5.305377643
324	5.303803556
325	5.303211094
326	5.302598777
327	5.302110146
328	5.300472204
329	5.29915896
330	5.298227176
331	5.297838078
332	5.296938879
333	5.295809889
334	5.294900767
335	5.293695521
336	5.292769225
337	5.291443409
338	5.289950388
339	5.289275904
340	5.287392913
341	5.285559811
342	5.284369501
343	5.284110391
344	5.282548695
345	5.281410149
346	5.281106311
347	5.280133764
348	5.27924036
349	5.277896009
350	5.276494992
351	5.274777345
352	5.27371295
353	5.272525569
354	5.271462592
355	5.2701524
356	5.269910598
357	5.269222008
358	5.267723155
