iter	Passed	Remaining
0	71	35672
1	77	19323
2	83	13854
3	89	11089
4	95	9459
5	101	8382
6	110	7757
7	117	7256
8	124	6765
9	130	6408
10	137	6098
11	143	5820
12	149	5596
13	155	5390
14	161	5212
15	166	5047
16	172	4896
17	177	4758
18	183	4639
19	188	4532
20	194	4428
21	199	4335
22	204	4248
23	210	4165
24	215	4099
25	221	4032
26	227	3980
27	234	3958
28	242	3935
29	248	3895
30	254	3843
31	259	3792
32	264	3744
33	270	3709
34	276	3668
35	282	3638
36	287	3603
37	293	3568
38	299	3539
39	304	3507
40	310	3473
41	315	3440
42	320	3408
43	326	3379
44	333	3370
45	344	3398
46	354	3412
47	362	3412
48	371	3421
49	378	3407
50	385	3390
51	392	3384
52	399	3370
53	406	3357
54	412	3341
55	421	3341
56	428	3331
57	435	3316
58	441	3300
59	449	3292
60	455	3276
61	461	3262
62	468	3248
63	475	3238
64	482	3227
65	488	3212
66	494	3198
67	501	3186
68	508	3176
69	514	3162
70	521	3150
71	527	3136
72	534	3128
73	542	3123
74	549	3111
75	554	3095
76	560	3080
77	569	3081
78	577	3078
79	586	3081
80	596	3086
81	605	3085
82	613	3081
83	620	3070
84	626	3061
85	633	3051
86	641	3044
87	648	3038
88	655	3029
89	662	3018
90	668	3006
91	675	2996
92	683	2991
93	692	2990
94	701	2988
95	709	2984
96	715	2973
97	721	2960
98	727	2948
99	733	2935
100	740	2925
101	748	2919
102	754	2909
103	761	2899
104	769	2894
105	788	2929
106	815	2994
107	824	2990
108	831	2984
109	840	2979
110	850	2982
111	858	2974
112	866	2965
113	873	2958
114	882	2954
115	890	2947
116	897	2937
117	904	2929
118	913	2924
119	921	2919
120	929	2912
121	938	2906
122	947	2903
123	956	2899
124	963	2891
125	971	2883
126	978	2874
127	986	2866
128	998	2871
129	1007	2868
130	1015	2860
131	1028	2868
132	1040	2870
133	1051	2870
134	1059	2865
135	1068	2860
136	1075	2849
137	1081	2838
138	1087	2825
139	1094	2814
140	1100	2802
141	1107	2792
142	1114	2783
143	1122	2775
144	1129	2764
145	1135	2753
146	1145	2750
147	1152	2740
148	1158	2729
149	1167	2723
150	1174	2713
151	1181	2704
152	1188	2694
153	1195	2684
154	1202	2676
155	1208	2665
156	1215	2655
157	1223	2647
158	1229	2636
159	1237	2629
160	1244	2620
161	1252	2613
162	1259	2603
163	1265	2593
164	1271	2582
165	1278	2572
166	1288	2568
167	1299	2568
168	1316	2577
169	1325	2573
170	1334	2567
171	1341	2558
172	1351	2555
173	1362	2552
174	1372	2548
175	1380	2542
176	1391	2539
177	1400	2533
178	1408	2525
179	1415	2516
180	1424	2510
181	1431	2501
182	1441	2497
183	1451	2492
184	1460	2486
185	1470	2481
186	1478	2474
187	1489	2471
188	1499	2468
189	1507	2460
190	1516	2453
191	1525	2446
192	1534	2441
193	1542	2432
194	1549	2424
195	1556	2414
196	1565	2408
197	1574	2401
198	1583	2395
199	1592	2389
200	1600	2380
201	1608	2372
202	1618	2367
203	1625	2358
204	1634	2352
205	1642	2344
206	1649	2334
207	1656	2326
208	1664	2318
209	1672	2309
210	1680	2302
211	1688	2293
212	1695	2284
213	1704	2277
214	1711	2268
215	1721	2263
216	1730	2256
217	1740	2251
218	1748	2243
219	1757	2236
220	1764	2227
221	1772	2220
222	1780	2211
223	1788	2203
224	1795	2193
225	1801	2183
226	1808	2174
227	1814	2164
228	1821	2155
229	1827	2145
230	1835	2136
231	1844	2130
232	1851	2121
233	1858	2112
234	1864	2102
235	1870	2092
236	1877	2083
237	1883	2073
238	1889	2063
239	1895	2053
240	1901	2043
241	1908	2034
242	1913	2024
243	1920	2014
244	1925	2004
245	1932	1994
246	1938	1985
247	1945	1976
248	1953	1969
249	1960	1960
250	1967	1951
251	1973	1942
252	1979	1932
253	1985	1922
254	1991	1913
255	1996	1902
256	2002	1893
257	2007	1883
258	2014	1874
259	2021	1866
260	2027	1856
261	2034	1847
262	2039	1838
263	2046	1829
264	2052	1820
265	2058	1810
266	2064	1801
267	2071	1793
268	2078	1785
269	2085	1776
270	2092	1767
271	2097	1758
272	2103	1749
273	2110	1740
274	2115	1731
275	2121	1721
276	2127	1712
277	2133	1704
278	2139	1694
279	2145	1686
280	2152	1677
281	2158	1668
282	2163	1659
283	2170	1650
284	2176	1641
285	2181	1632
286	2188	1624
287	2194	1615
288	2201	1607
289	2207	1598
290	2213	1589
291	2220	1582
292	2226	1573
293	2233	1564
294	2238	1555
295	2245	1547
296	2250	1538
297	2256	1529
298	2262	1520
299	2268	1512
300	2275	1504
301	2281	1495
302	2287	1487
303	2293	1478
304	2299	1470
